Calendar_Year,State,School_Period_Type,School_Period_Name,Date
2013,ACT,Holiday,Term 1 Holidays (Autumn),2013-04-27
2013,ACT,Holiday,Term 1 Holidays (Autumn),2013-04-28
2013,ACT,Holiday,Term 2 Holidays (Winter),2013-07-06
2013,ACT,Holiday,Term 2 Holidays (Winter),2013-07-07
2013,ACT,Holiday,Term 2 Holidays (Winter),2013-07-08
2013,ACT,Holiday,Term 2 Holidays (Winter),2013-07-09
2013,ACT,Holiday,Term 2 Holidays (Winter),2013-07-10
2013,ACT,Holiday,Term 2 Holidays (Winter),2013-07-11
2013,ACT,Holiday,Term 2 Holidays (Winter),2013-07-12
2013,ACT,Holiday,Term 2 Holidays (Winter),2013-07-13
2013,ACT,Holiday,Term 2 Holidays (Winter),2013-07-14
2013,ACT,Holiday,Term 2 Holidays (Winter),2013-07-15
2013,ACT,Holiday,Term 2 Holidays (Winter),2013-07-16
2013,ACT,Holiday,Term 2 Holidays (Winter),2013-07-17
2013,ACT,Holiday,Term 2 Holidays (Winter),2013-07-18
2013,ACT,Holiday,Term 2 Holidays (Winter),2013-07-19
2013,ACT,Holiday,Term 2 Holidays (Winter),2013-07-20
2013,ACT,Holiday,Term 2 Holidays (Winter),2013-07-21
2013,ACT,Holiday,Term 3 Holidays (Spring),2013-09-28
2013,ACT,Holiday,Term 3 Holidays (Spring),2013-09-29
2013,ACT,Holiday,Term 3 Holidays (Spring),2013-09-30
2013,ACT,Holiday,Term 3 Holidays (Spring),2013-10-01
2013,ACT,Holiday,Term 3 Holidays (Spring),2013-10-02
2013,ACT,Holiday,Term 3 Holidays (Spring),2013-10-03
2013,ACT,Holiday,Term 3 Holidays (Spring),2013-10-04
2013,ACT,Holiday,Term 3 Holidays (Spring),2013-10-05
2013,ACT,Holiday,Term 3 Holidays (Spring),2013-10-06
2013,ACT,Holiday,Term 3 Holidays (Spring),2013-10-07
2013,ACT,Holiday,Term 3 Holidays (Spring),2013-10-08
2013,ACT,Holiday,Term 3 Holidays (Spring),2013-10-09
2013,ACT,Holiday,Term 3 Holidays (Spring),2013-10-10
2013,ACT,Holiday,Term 3 Holidays (Spring),2013-10-11
2013,ACT,Holiday,Term 3 Holidays (Spring),2013-10-12
2013,ACT,Holiday,Term 3 Holidays (Spring),2013-10-13
2013,ACT,Holiday,Term 4 Holidays (Summer),2013-12-21
2013,ACT,Holiday,Term 4 Holidays (Summer),2013-12-22
2013,ACT,Holiday,Term 4 Holidays (Summer),2013-12-23
2013,ACT,Holiday,Term 4 Holidays (Summer),2013-12-24
2013,ACT,Holiday,Term 4 Holidays (Summer),2013-12-25
2013,ACT,Holiday,Term 4 Holidays (Summer),2013-12-26
2013,ACT,Holiday,Term 4 Holidays (Summer),2013-12-27
2013,ACT,Holiday,Term 4 Holidays (Summer),2013-12-28
2013,ACT,Holiday,Term 4 Holidays (Summer),2013-12-29
2013,ACT,Holiday,Term 4 Holidays (Summer),2013-12-30
2013,ACT,Holiday,Term 4 Holidays (Summer),2013-12-31
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-01
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-02
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-03
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-04
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-05
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-06
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-07
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-08
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-09
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-10
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-11
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-12
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-13
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-14
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-15
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-16
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-17
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-18
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-19
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-20
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-21
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-22
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-23
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-24
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-25
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-26
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-27
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-28
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-29
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-30
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-01-31
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-02-01
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-02-02
2013,ACT,Holiday,Term 4 Holidays (Summer),2014-02-03
2014,ACT,Holiday,Term 1 Holidays (Autumn),2014-04-12
2014,ACT,Holiday,Term 1 Holidays (Autumn),2014-04-13
2014,ACT,Holiday,Term 1 Holidays (Autumn),2014-04-14
2014,ACT,Holiday,Term 1 Holidays (Autumn),2014-04-15
2014,ACT,Holiday,Term 1 Holidays (Autumn),2014-04-16
2014,ACT,Holiday,Term 1 Holidays (Autumn),2014-04-17
2014,ACT,Holiday,Term 1 Holidays (Autumn),2014-04-18
2014,ACT,Holiday,Term 1 Holidays (Autumn),2014-04-19
2014,ACT,Holiday,Term 1 Holidays (Autumn),2014-04-20
2014,ACT,Holiday,Term 1 Holidays (Autumn),2014-04-21
2014,ACT,Holiday,Term 1 Holidays (Autumn),2014-04-22
2014,ACT,Holiday,Term 1 Holidays (Autumn),2014-04-23
2014,ACT,Holiday,Term 1 Holidays (Autumn),2014-04-24
2014,ACT,Holiday,Term 1 Holidays (Autumn),2014-04-25
2014,ACT,Holiday,Term 1 Holidays (Autumn),2014-04-26
2014,ACT,Holiday,Term 1 Holidays (Autumn),2014-04-27
2014,ACT,Holiday,Term 2 Holidays (Winter),2014-07-05
2014,ACT,Holiday,Term 2 Holidays (Winter),2014-07-06
2014,ACT,Holiday,Term 2 Holidays (Winter),2014-07-07
2014,ACT,Holiday,Term 2 Holidays (Winter),2014-07-08
2014,ACT,Holiday,Term 2 Holidays (Winter),2014-07-09
2014,ACT,Holiday,Term 2 Holidays (Winter),2014-07-10
2014,ACT,Holiday,Term 2 Holidays (Winter),2014-07-11
2014,ACT,Holiday,Term 2 Holidays (Winter),2014-07-12
2014,ACT,Holiday,Term 2 Holidays (Winter),2014-07-13
2014,ACT,Holiday,Term 2 Holidays (Winter),2014-07-14
2014,ACT,Holiday,Term 2 Holidays (Winter),2014-07-15
2014,ACT,Holiday,Term 2 Holidays (Winter),2014-07-16
2014,ACT,Holiday,Term 2 Holidays (Winter),2014-07-17
2014,ACT,Holiday,Term 2 Holidays (Winter),2014-07-18
2014,ACT,Holiday,Term 2 Holidays (Winter),2014-07-19
2014,ACT,Holiday,Term 2 Holidays (Winter),2014-07-20
2014,ACT,Holiday,Term 3 Holidays (Spring),2014-09-27
2014,ACT,Holiday,Term 3 Holidays (Spring),2014-09-28
2014,ACT,Holiday,Term 3 Holidays (Spring),2014-09-29
2014,ACT,Holiday,Term 3 Holidays (Spring),2014-09-30
2014,ACT,Holiday,Term 3 Holidays (Spring),2014-10-01
2014,ACT,Holiday,Term 3 Holidays (Spring),2014-10-02
2014,ACT,Holiday,Term 3 Holidays (Spring),2014-10-03
2014,ACT,Holiday,Term 3 Holidays (Spring),2014-10-04
2014,ACT,Holiday,Term 3 Holidays (Spring),2014-10-05
2014,ACT,Holiday,Term 3 Holidays (Spring),2014-10-06
2014,ACT,Holiday,Term 3 Holidays (Spring),2014-10-07
2014,ACT,Holiday,Term 3 Holidays (Spring),2014-10-08
2014,ACT,Holiday,Term 3 Holidays (Spring),2014-10-09
2014,ACT,Holiday,Term 3 Holidays (Spring),2014-10-10
2014,ACT,Holiday,Term 3 Holidays (Spring),2014-10-11
2014,ACT,Holiday,Term 3 Holidays (Spring),2014-10-12
2014,ACT,Holiday,Term 4 Holidays (Summer),2014-12-18
2014,ACT,Holiday,Term 4 Holidays (Summer),2014-12-19
2014,ACT,Holiday,Term 4 Holidays (Summer),2014-12-20
2014,ACT,Holiday,Term 4 Holidays (Summer),2014-12-21
2014,ACT,Holiday,Term 4 Holidays (Summer),2014-12-22
2014,ACT,Holiday,Term 4 Holidays (Summer),2014-12-23
2014,ACT,Holiday,Term 4 Holidays (Summer),2014-12-24
2014,ACT,Holiday,Term 4 Holidays (Summer),2014-12-25
2014,ACT,Holiday,Term 4 Holidays (Summer),2014-12-26
2014,ACT,Holiday,Term 4 Holidays (Summer),2014-12-27
2014,ACT,Holiday,Term 4 Holidays (Summer),2014-12-28
2014,ACT,Holiday,Term 4 Holidays (Summer),2014-12-29
2014,ACT,Holiday,Term 4 Holidays (Summer),2014-12-30
2014,ACT,Holiday,Term 4 Holidays (Summer),2014-12-31
2014,ACT,Holiday,Term 4 Holidays (Summer),2015-01-01
2014,ACT,Holiday,Term 4 Holidays (Summer),2015-01-02
2014,ACT,Holiday,Term 4 Holidays (Summer),2015-01-03
2014,ACT,Holiday,Term 4 Holidays (Summer),2015-01-04
2014,ACT,Holiday,Term 4 Holidays (Summer),2015-01-05
2014,ACT,Holiday,Term 4 Holidays (Summer),2015-01-06
2014,ACT,Holiday,Term 4 Holidays (Summer),2015-01-07
2014,ACT,Holiday,Term 4 Holidays (Summer),2015-01-08
2014,ACT,Holiday,Term 4 Holidays (Summer),2015-01-09
